Comunidades autónomas;Sectores de actividad;Sexo;Periodo;Total
Castilla - La Mancha;Industria;Mujeres;2011;16.523,29
Castilla - La Mancha;Industria;Mujeres;2010;16.844,16
Castilla - La Mancha;Industria;Mujeres;2009;15.832,06
Castilla - La Mancha;Industria;Mujeres;2008;14.912,67
Castilla - La Mancha;Industria;Hombres;2022;28.236,38
Castilla - La Mancha;Industria;Hombres;2021;26.722,24
Castilla - La Mancha;Industria;Hombres;2020;26.218,69
Castilla - La Mancha;Industria;Hombres;2019;26.166,16
Castilla - La Mancha;Industria;Hombres;2018;25.255,79
Castilla - La Mancha;Industria;Hombres;2017;25.970,73
Castilla - La Mancha;Industria;Hombres;2016;25.230,13
Castilla - La Mancha;Industria;Hombres;2015;25.332,93
Castilla - La Mancha;Industria;Hombres;2014;24.904,73
Castilla - La Mancha;Industria;Hombres;2013;24.827,86
Castilla - La Mancha;Industria;Hombres;2012;23.888,8
Castilla - La Mancha;Industria;Hombres;2011;23.669,57
Castilla - La Mancha;Industria;Hombres;2010;23.163,03
Castilla - La Mancha;Industria;Hombres;2009;22.363,27
Castilla - La Mancha;Industria;Hombres;2008;21.546,6
Castilla - La Mancha;Construcción;Ambos sexos;2022;-21.630,78
Castilla - La Mancha;Construcción;Ambos sexos;2021;20.716,77
Castilla - La Mancha;Construcción;Ambos sexos;2020;19.770,41
Castilla - La Mancha;Construcción;Ambos sexos;2019;19.961,59
Castilla - La Mancha;Construcción;Ambos sexos;2018;20.253,67
Castilla - La Mancha;Construcción;Ambos sexos;2017;19.608,09
Castilla - La Mancha;Construcción;Ambos sexos;2016;19.152,15
Castilla - La Mancha;Construcción;Ambos sexos;2015;18.584,06
Castilla - La Mancha;Construcción;Ambos sexos;2014;19.292,38
Castilla - La Mancha;Construcción;Ambos sexos;2013;19.397,85
Castilla - La Mancha;Construcción;Ambos sexos;2012;19.341,97
Castilla - La Mancha;Construcción;Ambos sexos;2011;19.410,97
Castilla - La Mancha;Construcción;Ambos sexos;2010;19.608,11
Castilla - La Mancha;Construcción;Ambos sexos;2009;18.797,21
Castilla - La Mancha;Construcción;Ambos sexos;2008;18.131,54
Castilla - La Mancha;Construcción;Mujeres;2022;..
Castilla - La Mancha;Construcción;Mujeres;2021;..
Castilla - La Mancha;Construcción;Mujeres;2020;..
Castilla - La Mancha;Construcción;Mujeres;2019;..
Castilla - La Mancha;Construcción;Mujeres;2018;..
Castilla - La Mancha;Construcción;Mujeres;2017;..
Castilla - La Mancha;Construcción;Mujeres;2016;..
Castilla - La Mancha;Construcción;Mujeres;2015;..
Castilla - La Mancha;Construcción;Mujeres;2014;..
Castilla - La Mancha;Construcción;Mujeres;2013;..
Castilla - La Mancha;Construcción;Mujeres;2012;-16.092,71
Castilla - La Mancha;Construcción;Mujeres;2011;..
Castilla - La Mancha;Construcción;Mujeres;2010;..
Castilla - La Mancha;Construcción;Mujeres;2009;-16.650,6
Castilla - La Mancha;Construcción;Mujeres;2008;-17.117,89
Castilla - La Mancha;Construcción;Hombres;2022;-21.535,83
Castilla - La Mancha;Construcción;Hombres;2021;20.929,82
Castilla - La Mancha;Construcción;Hombres;2020;20.144,18
Castilla - La Mancha;Construcción;Hombres;2019;20.168,41
Castilla - La Mancha;Construcción;Hombres;2018;20.451,71
Castilla - La Mancha;Construcción;Hombres;2017;19.941,64
Castilla - La Mancha;Construcción;Hombres;2016;19.345,68
Castilla - La Mancha;Construcción;Hombres;2015;18.828,55
Castilla - La Mancha;Construcción;Hombres;2014;19.694,24
Castilla - La Mancha;Construcción;Hombres;2013;19.734,86
Castilla - La Mancha;Construcción;Hombres;2012;19.911,04
Castilla - La Mancha;Construcción;Hombres;2011;19.605,87
Castilla - La Mancha;Construcción;Hombres;2010;20.171,44
Castilla - La Mancha;Construcción;Hombres;2009;19.231,03
Castilla - La Mancha;Construcción;Hombres;2008;18.284,24
Castilla - La Mancha;Servicios;Ambos sexos;2022;23.006,18
Castilla - La Mancha;Servicios;Ambos sexos;2021;23.036,05
Castilla - La Mancha;Servicios;Ambos sexos;2020;22.317,59
Castilla - La Mancha;Servicios;Ambos sexos;2019;21.384,69
Castilla - La Mancha;Servicios;Ambos sexos;2018;21.476,61
Castilla - La Mancha;Servicios;Ambos sexos;2017;20.344,41
Castilla - La Mancha;Servicios;Ambos sexos;2016;20.226,29
Castilla - La Mancha;Servicios;Ambos sexos;2015;20.107,07
Castilla - La Mancha;Servicios;Ambos sexos;2014;20.120,5
Castilla - La Mancha;Servicios;Ambos sexos;2013;20.143,29
Castilla - La Mancha;Servicios;Ambos sexos;2012;20.161,67
Castilla - La Mancha;Servicios;Ambos sexos;2011;20.442,44
Castilla - La Mancha;Servicios;Ambos sexos;2010;20.113,74
Castilla - La Mancha;Servicios;Ambos sexos;2009;20.284,65
Castilla - La Mancha;Servicios;Ambos sexos;2008;20.042,6
Castilla - La Mancha;Servicios;Mujeres;2022;20.932,29
Castilla - La Mancha;Servicios;Mujeres;2021;21.397,27
Castilla - La Mancha;Servicios;Mujeres;2020;20.984,69
Castilla - La Mancha;Servicios;Mujeres;2019;20.047,95
Castilla - La Mancha;Servicios;Mujeres;2018;19.283,44
Castilla - La Mancha;Servicios;Mujeres;2017;18.318,39
Castilla - La Mancha;Servicios;Mujeres;2016;18.179,36
Castilla - La Mancha;Servicios;Mujeres;2015;18.219,72
Castilla - La Mancha;Servicios;Mujeres;2014;18.265,9
Castilla - La Mancha;Servicios;Mujeres;2013;17.616,47
Castilla - La Mancha;Servicios;Mujeres;2012;17.619,04
Castilla - La Mancha;Servicios;Mujeres;2011;18.172,04
Castilla - La Mancha;Servicios;Mujeres;2010;18.144,65
Castilla - La Mancha;Servicios;Mujeres;2009;18.005,25
Castilla - La Mancha;Servicios;Mujeres;2008;17.973,47
Castilla - La Mancha;Servicios;Hombres;2022;25.627,01
Castilla - La Mancha;Servicios;Hombres;2021;24.928,5
Castilla - La Mancha;Servicios;Hombres;2020;23.837,91
Castilla - La Mancha;Servicios;Hombres;2019;22.948,7
Castilla - La Mancha;Servicios;Hombres;2018;24.118,34
Castilla - La Mancha;Servicios;Hombres;2017;22.571,77
Castilla - La Mancha;Servicios;Hombres;2016;22.471,44
Castilla - La Mancha;Servicios;Hombres;2015;22.285,96
Castilla - La Mancha;Servicios;Hombres;2014;22.302,91
Castilla - La Mancha;Servicios;Hombres;2013;23.302,06
Castilla - La Mancha;Servicios;Hombres;2012;22.976,9
Castilla - La Mancha;Servicios;Hombres;2011;23.153,39
Castilla - La Mancha;Servicios;Hombres;2010;22.593,99
Castilla - La Mancha;Servicios;Hombres;2009;22.653,56
Castilla - La Mancha;Servicios;Hombres;2008;22.184,72
Cataluña;Todos los sectores;Ambos sexos;2022;28.774,55
Cataluña;Todos los sectores;Ambos sexos;2021;28.145,02
Cataluña;Todos los sectores;Ambos sexos;2020;27.100,11
Cataluña;Todos los sectores;Ambos sexos;2019;25.968,2
Cataluña;Todos los sectores;Ambos sexos;2018;25.552,84
Cataluña;Todos los sectores;Ambos sexos;2017;25.180,45
Cataluña;Todos los sectores;Ambos sexos;2016;24.454,64
Cataluña;Todos los sectores;Ambos sexos;2015;24.321,57
Cataluña;Todos los sectores;Ambos sexos;2014;23.927,17
Cataluña;Todos los sectores;Ambos sexos;2013;24.253,73
Cataluña;Todos los sectores;Ambos sexos;2012;24.436,39
Cataluña;Todos los sectores;Ambos sexos;2011;24.499,32
Cataluña;Todos los sectores;Ambos sexos;2010;24.449,19
Cataluña;Todos los sectores;Ambos sexos;2009;23.851,31
Cataluña;Todos los sectores;Ambos sexos;2008;23.375,54
Cataluña;Todos los sectores;Mujeres;2022;25.659,03
Cataluña;Todos los sectores;Mujeres;2021;25.015,94
Cataluña;Todos los sectores;Mujeres;2020;24.096,69
Cataluña;Todos los sectores;Mujeres;2019;22.988,22
Cataluña;Todos los sectores;Mujeres;2018;22.289,9
Cataluña;Todos los sectores;Mujeres;2017;21.801,47
Cataluña;Todos los sectores;Mujeres;2016;21.110,34
Cataluña;Todos los sectores;Mujeres;2015;20.946,56
Cataluña;Todos los sectores;Mujeres;2014;20.324,88
Cataluña;Todos los sectores;Mujeres;2013;20.740,55
Cataluña;Todos los sectores;Mujeres;2012;20.931,07
Cataluña;Todos los sectores;Mujeres;2011;20.799,94
Cataluña;Todos los sectores;Mujeres;2010;21.042,14
Cataluña;Todos los sectores;Mujeres;2009;20.467,14
Cataluña;Todos los sectores;Mujeres;2008;19.928,48
Cataluña;Todos los sectores;Hombres;2022;31.878,42
Cataluña;Todos los sectores;Hombres;2021;31.212,67
Cataluña;Todos los sectores;Hombres;2020;30.003,62
Cataluña;Todos los sectores;Hombres;2019;28.965,38
Cataluña;Todos los sectores;Hombres;2018;28.640,23
Cataluña;Todos los sectores;Hombres;2017;28.323,31
Cataluña;Todos los sectores;Hombres;2016;27.572,76
Cataluña;Todos los sectores;Hombres;2015;27.514,06
Cataluña;Todos los sectores;Hombres;2014;27.447,71
Cataluña;Todos los sectores;Hombres;2013;27.684,3
Cataluña;Todos los sectores;Hombres;2012;27.836,4
Cataluña;Todos los sectores;Hombres;2011;28.025,61
Cataluña;Todos los sectores;Hombres;2010;27.601,02
Cataluña;Todos los sectores;Hombres;2009;26.901,3
Cataluña;Todos los sectores;Hombres;2008;26.353,89
Cataluña;Industria;Ambos sexos;2022;32.623,78
Cataluña;Industria;Ambos sexos;2021;31.423,88
Cataluña;Industria;Ambos sexos;2020;30.393,15
Cataluña;Industria;Ambos sexos;2019;29.668,2
Cataluña;Industria;Ambos sexos;2018;30.552,41
Cataluña;Industria;Ambos sexos;2017;30.063,37
Cataluña;Industria;Ambos sexos;2016;29.563,19
Cataluña;Industria;Ambos sexos;2015;29.417,29
Cataluña;Industria;Ambos sexos;2014;29.389,99
Cataluña;Industria;Ambos sexos;2013;28.897,03
Cataluña;Industria;Ambos sexos;2012;28.598,48
Cataluña;Industria;Ambos sexos;2011;28.284,17
Cataluña;Industria;Ambos sexos;2010;27.536,84
Cataluña;Industria;Ambos sexos;2009;26.247,9
Cataluña;Industria;Ambos sexos;2008;25.800,03
Cataluña;Industria;Mujeres;2022;28.527,96
Cataluña;Industria;Mujeres;2021;27.274,21
Cataluña;Industria;Mujeres;2020;26.250,91
Cataluña;Industria;Mujeres;2019;25.214,81
Cataluña;Industria;Mujeres;2018;26.123,93
Cataluña;Industria;Mujeres;2017;25.808,22
Cataluña;Industria;Mujeres;2016;24.910,64
Cataluña;Industria;Mujeres;2015;24.821,34
Cataluña;Industria;Mujeres;2014;24.644,78
Cataluña;Industria;Mujeres;2013;24.789,27
Cataluña;Industria;Mujeres;2012;23.870,76
Cataluña;Industria;Mujeres;2011;23.338,68
Cataluña;Industria;Mujeres;2010;23.155,8
Cataluña;Industria;Mujeres;2009;21.704,33
Cataluña;Industria;Mujeres;2008;20.598,04
Cataluña;Industria;Hombres;2022;34.491,61
Cataluña;Industria;Hombres;2021;33.375,65
Cataluña;Industria;Hombres;2020;32.277,94
Cataluña;Industria;Hombres;2019;31.733,62
Cataluña;Industria;Hombres;2018;32.589,74
Cataluña;Industria;Hombres;2017;31.879,08
Cataluña;Industria;Hombres;2016;31.541,55
Cataluña;Industria;Hombres;2015;31.368,57
Cataluña;Industria;Hombres;2014;31.449,61
Cataluña;Industria;Hombres;2013;30.713,11
Cataluña;Industria;Hombres;2012;30.697,33
Cataluña;Industria;Hombres;2011;30.544,5
Cataluña;Industria;Hombres;2010;29.544,37
Cataluña;Industria;Hombres;2009;28.261,77
Cataluña;Industria;Hombres;2008;28.211,23
Cataluña;Construcción;Ambos sexos;2022;28.234,77
Cataluña;Construcción;Ambos sexos;2021;27.678,9
Cataluña;Construcción;Ambos sexos;2020;26.001,23
Cataluña;Construcción;Ambos sexos;2019;25.315,9
Cataluña;Construcción;Ambos sexos;2018;26.158,12
Cataluña;Construcción;Ambos sexos;2017;24.396,71
Cataluña;Construcción;Ambos sexos;2016;24.201,13
Cataluña;Construcción;Ambos sexos;2015;24.603,42
Cataluña;Construcción;Ambos sexos;2014;23.717,23
Cataluña;Construcción;Ambos sexos;2013;25.864,15
Cataluña;Construcción;Ambos sexos;2012;25.348,05
Cataluña;Construcción;Ambos sexos;2011;24.971,19
Cataluña;Construcción;Ambos sexos;2010;23.666,78
Cataluña;Construcción;Ambos sexos;2009;24.252,88
Cataluña;Construcción;Ambos sexos;2008;22.963,55
Cataluña;Construcción;Mujeres;2022;-28.410,65
Cataluña;Construcción;Mujeres;2021;-23.361,01
Cataluña;Construcción;Mujeres;2020;-21.857,66
Cataluña;Construcción;Mujeres;2019;-21.972,27
Cataluña;Construcción;Mujeres;2018;-25.678,27
Cataluña;Construcción;Mujeres;2017;-20.467,31
Cataluña;Construcción;Mujeres;2016;-20.160,82
Cataluña;Construcción;Mujeres;2015;-18.838,01
Cataluña;Construcción;Mujeres;2014;-22.747,75
Cataluña;Construcción;Mujeres;2013;-22.443,85
Cataluña;Construcción;Mujeres;2012;-24.279,54
Cataluña;Construcción;Mujeres;2011;-21.558
Cataluña;Construcción;Mujeres;2010;-20.386,92
Cataluña;Construcción;Mujeres;2009;-19.772,96
Cataluña;Construcción;Mujeres;2008;-21.221,28
Cataluña;Construcción;Hombres;2022;28.202
Cataluña;Construcción;Hombres;2021;28.535,02
Cataluña;Construcción;Hombres;2020;26.900,53
Cataluña;Construcción;Hombres;2019;25.952,88
Cataluña;Construcción;Hombres;2018;26.242,05
Cataluña;Construcción;Hombres;2017;25.161,75
Cataluña;Construcción;Hombres;2016;25.022,86
Cataluña;Construcción;Hombres;2015;25.776,8
Cataluña;Construcción;Hombres;2014;23.879,45
Cataluña;Construcción;Hombres;2013;26.394,42
Cataluña;Construcción;Hombres;2012;25.576,22
Cataluña;Construcción;Hombres;2011;25.510,7
Cataluña;Construcción;Hombres;2010;24.303,29
Cataluña;Construcción;Hombres;2009;25.026,06
Cataluña;Construcción;Hombres;2008;23.335,51
Cataluña;Servicios;Ambos sexos;2022;28.013,89
Cataluña;Servicios;Ambos sexos;2021;27.486,53
Cataluña;Servicios;Ambos sexos;2020;26.467,1
Cataluña;Servicios;Ambos sexos;2019;25.230,93
Cataluña;Servicios;Ambos sexos;2018;24.425,21
Cataluña;Servicios;Ambos sexos;2017;24.133,84
Cataluña;Servicios;Ambos sexos;2016;23.306,65
Cataluña;Servicios;Ambos sexos;2015;23.134,02
Cataluña;Servicios;Ambos sexos;2014;22.701,57
Cataluña;Servicios;Ambos sexos;2013;23.056,21
Cataluña;Servicios;Ambos sexos;2012;23.354,95
Cataluña;Servicios;Ambos sexos;2011;23.527,73
Cataluña;Servicios;Ambos sexos;2010;23.761,73
Cataluña;Servicios;Ambos sexos;2009;23.163,16
Cataluña;Servicios;Ambos sexos;2008;22.722,91
Cataluña;Servicios;Mujeres;2022;25.273,66
Cataluña;Servicios;Mujeres;2021;24.774,42
Cataluña;Servicios;Mujeres;2020;23.883,11
Cataluña;Servicios;Mujeres;2019;22.742,65
Cataluña;Servicios;Mujeres;2018;21.747,04
Cataluña;Servicios;Mujeres;2017;21.331,25
Cataluña;Servicios;Mujeres;2016;20.652,62
Cataluña;Servicios;Mujeres;2015;20.500,52
Cataluña;Servicios;Mujeres;2014;19.758,42
Cataluña;Servicios;Mujeres;2013;20.190,77
Cataluña;Servicios;Mujeres;2012;20.463,75
Cataluña;Servicios;Mujeres;2011;20.433,91
Cataluña;Servicios;Mujeres;2010;20.763,74
Cataluña;Servicios;Mujeres;2009;20.306,84
Cataluña;Servicios;Mujeres;2008;19.758,02
Cataluña;Servicios;Hombres;2022;31.520,54
Cataluña;Servicios;Hombres;2021;30.851,5
Cataluña;Servicios;Hombres;2020;29.639,52
Cataluña;Servicios;Hombres;2019;28.428,64
Cataluña;Servicios;Hombres;2018;27.643,85
Cataluña;Servicios;Hombres;2017;27.462,56
Cataluña;Servicios;Hombres;2016;26.461,36
Cataluña;Servicios;Hombres;2015;26.326,28
Cataluña;Servicios;Hombres;2014;26.409,42
Cataluña;Servicios;Hombres;2013;26.705,4
Cataluña;Servicios;Hombres;2012;27.020,5
Cataluña;Servicios;Hombres;2011;27.456,16
Cataluña;Servicios;Hombres;2010;27.470,99
Cataluña;Servicios;Hombres;2009;26.762,09
Cataluña;Servicios;Hombres;2008;26.283,85
Comunitat Valenciana;Todos los sectores;Ambos sexos;2022;24.510,34
Comunitat Valenciana;Todos los sectores;Ambos sexos;2021;23.448,29
Comunitat Valenciana;Todos los sectores;Ambos sexos;2020;22.856,7
Comunitat Valenciana;Todos los sectores;Ambos sexos;2019;22.045,66
Comunitat Valenciana;Todos los sectores;Ambos sexos;2018;22.121,05
Comunitat Valenciana;Todos los sectores;Ambos sexos;2017;21.362,39
Comunitat Valenciana;Todos los sectores;Ambos sexos;2016;21.168,81
Comunitat Valenciana;Todos los sectores;Ambos sexos;2015;20.935,41
Comunitat Valenciana;Todos los sectores;Ambos sexos;2014;20.639,58
Comunitat Valenciana;Todos los sectores;Ambos sexos;2013;20.878,02
Comunitat Valenciana;Todos los sectores;Ambos sexos;2012;21.223,72
Comunitat Valenciana;Todos los sectores;Ambos sexos;2011;21.316,34
Comunitat Valenciana;Todos los sectores;Ambos sexos;2010;20.707,24
Comunitat Valenciana;Todos los sectores;Ambos sexos;2009;20.489,79
Comunitat Valenciana;Todos los sectores;Ambos sexos;2008;19.793,62
Comunitat Valenciana;Todos los sectores;Mujeres;2022;22.135,35
Comunitat Valenciana;Todos los sectores;Mujeres;2021;20.670,5
Comunitat Valenciana;Todos los sectores;Mujeres;2020;20.165,73
Comunitat Valenciana;Todos los sectores;Mujeres;2019;19.314,58
Comunitat Valenciana;Todos los sectores;Mujeres;2018;19.235,72
Comunitat Valenciana;Todos los sectores;Mujeres;2017;18.523,81
Comunitat Valenciana;Todos los sectores;Mujeres;2016;18.349,52
Comunitat Valenciana;Todos los sectores;Mujeres;2015;17.811,38
Comunitat Valenciana;Todos los sectores;Mujeres;2014;17.511,66
Comunitat Valenciana;Todos los sectores;Mujeres;2013;17.918,36
Comunitat Valenciana;Todos los sectores;Mujeres;2012;17.870,88
Comunitat Valenciana;Todos los sectores;Mujeres;2011;18.052,49
Comunitat Valenciana;Todos los sectores;Mujeres;2010;17.776,59
Comunitat Valenciana;Todos los sectores;Mujeres;2009;17.426,72
Comunitat Valenciana;Todos los sectores;Mujeres;2008;16.929,69
Comunitat Valenciana;Todos los sectores;Hombres;2022;26.683,85
Comunitat Valenciana;Todos los sectores;Hombres;2021;25.914,86
Comunitat Valenciana;Todos los sectores;Hombres;2020;25.239,04
Comunitat Valenciana;Todos los sectores;Hombres;2019;24.499,53
Comunitat Valenciana;Todos los sectores;Hombres;2018;24.537,07
Comunitat Valenciana;Todos los sectores;Hombres;2017;23.867,74
Comunitat Valenciana;Todos los sectores;Hombres;2016;23.672,18
Comunitat Valenciana;Todos los sectores;Hombres;2015;23.919,14
Comunitat Valenciana;Todos los sectores;Hombres;2014;23.479,71
Comunitat Valenciana;Todos los sectores;Hombres;2013;23.651,4
Comunitat Valenciana;Todos los sectores;Hombres;2012;24.289,23
Comunitat Valenciana;Todos los sectores;Hombres;2011;24.171,87
Comunitat Valenciana;Todos los sectores;Hombres;2010;23.331,71
Comunitat Valenciana;Todos los sectores;Hombres;2009;22.951,64
Comunitat Valenciana;Todos los sectores;Hombres;2008;22.039,14
Comunitat Valenciana;Industria;Ambos sexos;2022;26.833,59
Comunitat Valenciana;Industria;Ambos sexos;2021;25.868,5
Comunitat Valenciana;Industria;Ambos sexos;2020;24.739,06
Comunitat Valenciana;Industria;Ambos sexos;2019;24.613,37
Comunitat Valenciana;Industria;Ambos sexos;2018;24.494,97
Comunitat Valenciana;Industria;Ambos sexos;2017;23.822,98
Comunitat Valenciana;Industria;Ambos sexos;2016;23.246,93
Comunitat Valenciana;Industria;Ambos sexos;2015;23.026,62
Comunitat Valenciana;Industria;Ambos sexos;2014;23.618,95
Comunitat Valenciana;Industria;Ambos sexos;2013;22.945,57
Comunitat Valenciana;Industria;Ambos sexos;2012;22.714,1
Comunitat Valenciana;Industria;Ambos sexos;2011;22.716,41
Comunitat Valenciana;Industria;Ambos sexos;2010;22.206,76
Comunitat Valenciana;Industria;Ambos sexos;2009;21.313,94
Comunitat Valenciana;Industria;Ambos sexos;2008;20.634,44
Comunitat Valenciana;Industria;Mujeres;2022;22.375,07
Comunitat Valenciana;Industria;Mujeres;2021;21.050,92
Comunitat Valenciana;Industria;Mujeres;2020;20.326,92
Comunitat Valenciana;Industria;Mujeres;2019;19.779,19
Comunitat Valenciana;Industria;Mujeres;2018;19.484,88
Comunitat Valenciana;Industria;Mujeres;2017;19.332,14
Comunitat Valenciana;Industria;Mujeres;2016;18.744,05
Comunitat Valenciana;Industria;Mujeres;2015;18.497,73
Comunitat Valenciana;Industria;Mujeres;2014;18.313,64
Comunitat Valenciana;Industria;Mujeres;2013;17.946,8
Comunitat Valenciana;Industria;Mujeres;2012;17.839,84
Comunitat Valenciana;Industria;Mujeres;2011;18.029,9
Comunitat Valenciana;Industria;Mujeres;2010;17.314,07
Comunitat Valenciana;Industria;Mujeres;2009;16.573,1
Comunitat Valenciana;Industria;Mujeres;2008;15.812,6
Comunitat Valenciana;Industria;Hombres;2022;28.569,07
Comunitat Valenciana;Industria;Hombres;2021;27.662,6
Comunitat Valenciana;Industria;Hombres;2020;26.373,67
Comunitat Valenciana;Industria;Hombres;2019;26.360,33
Comunitat Valenciana;Industria;Hombres;2018;26.258,01
Comunitat Valenciana;Industria;Hombres;2017;25.394,87
Comunitat Valenciana;Industria;Hombres;2016;24.870,76
Comunitat Valenciana;Industria;Hombres;2015;24.671,6
Comunitat Valenciana;Industria;Hombres;2014;25.447,16
Comunitat Valenciana;Industria;Hombres;2013;24.839,2
Comunitat Valenciana;Industria;Hombres;2012;24.379,98
Comunitat Valenciana;Industria;Hombres;2011;24.328,43
Comunitat Valenciana;Industria;Hombres;2010;24.002,29
Comunitat Valenciana;Industria;Hombres;2009;23.031,34
Comunitat Valenciana;Industria;Hombres;2008;22.376,09
Comunitat Valenciana;Construcción;Ambos sexos;2022;23.019,75
Comunitat Valenciana;Construcción;Ambos sexos;2021;21.592,12
Comunitat Valenciana;Construcción;Ambos sexos;2020;20.792,16
Comunitat Valenciana;Construcción;Ambos sexos;2019;20.618,83
Comunitat Valenciana;Construcción;Ambos sexos;2018;20.741,39
Comunitat Valenciana;Construcción;Ambos sexos;2017;20.770,36
Comunitat Valenciana;Construcción;Ambos sexos;2016;20.151,56
Comunitat Valenciana;Construcción;Ambos sexos;2015;21.271,66
Comunitat Valenciana;Construcción;Ambos sexos;2014;20.674,36
Comunitat Valenciana;Construcción;Ambos sexos;2013;21.896,61
Comunitat Valenciana;Construcción;Ambos sexos;2012;22.707,26
Comunitat Valenciana;Construcción;Ambos sexos;2011;21.716,58
Comunitat Valenciana;Construcción;Ambos sexos;2010;20.800,69
Comunitat Valenciana;Construcción;Ambos sexos;2009;20.396,09
Comunitat Valenciana;Construcción;Ambos sexos;2008;18.229,64
Comunitat Valenciana;Construcción;Mujeres;2022;..
Comunitat Valenciana;Construcción;Mujeres;2021;-19.549,89
Comunitat Valenciana;Construcción;Mujeres;2020;-18.552,65
Comunitat Valenciana;Construcción;Mujeres;2019;-17.447,93
Comunitat Valenciana;Construcción;Mujeres;2018;..
Comunitat Valenciana;Construcción;Mujeres;2017;-16.915,64
Comunitat Valenciana;Construcción;Mujeres;2016;-17.770,92
Comunitat Valenciana;Construcción;Mujeres;2015;-18.527,18
Comunitat Valenciana;Construcción;Mujeres;2014;-18.790,86
Comunitat Valenciana;Construcción;Mujeres;2013;-19.095,78
Comunitat Valenciana;Construcción;Mujeres;2012;-21.537,37
Comunitat Valenciana;Construcción;Mujeres;2011;-18.857,95
Comunitat Valenciana;Construcción;Mujeres;2010;-17.547,07
Comunitat Valenciana;Construcción;Mujeres;2009;-19.510,06
Comunitat Valenciana;Construcción;Mujeres;2008;-16.952,78
Comunitat Valenciana;Construcción;Hombres;2022;22.899,7
Comunitat Valenciana;Construcción;Hombres;2021;21.930,04
Comunitat Valenciana;Construcción;Hombres;2020;21.171,68
Comunitat Valenciana;Construcción;Hombres;2019;21.165,12
Comunitat Valenciana;Construcción;Hombres;2018;21.185,4
Comunitat Valenciana;Construcción;Hombres;2017;21.444,83
Comunitat Valenciana;Construcción;Hombres;2016;20.605,94
Comunitat Valenciana;Construcción;Hombres;2015;21.763,03
Comunitat Valenciana;Construcción;Hombres;2014;21.001,63
Comunitat Valenciana;Construcción;Hombres;2013;22.375,3
Comunitat Valenciana;Construcción;Hombres;2012;22.901,75
Comunitat Valenciana;Construcción;Hombres;2011;22.147,88
Comunitat Valenciana;Construcción;Hombres;2010;21.495,64
Comunitat Valenciana;Construcción;Hombres;2009;20.542,31
Comunitat Valenciana;Construcción;Hombres;2008;18.475,74
Comunitat Valenciana;Servicios;Ambos sexos;2022;24.080,24
Comunitat Valenciana;Servicios;Ambos sexos;2021;23.016,86
Comunitat Valenciana;Servicios;Ambos sexos;2020;22.572,52
Comunitat Valenciana;Servicios;Ambos sexos;2019;21.536,52
Comunitat Valenciana;Servicios;Ambos sexos;2018;21.645,41
Comunitat Valenciana;Servicios;Ambos sexos;2017;20.779,92
Comunitat Valenciana;Servicios;Ambos sexos;2016;20.704,12
Comunitat Valenciana;Servicios;Ambos sexos;2015;20.391,74
Comunitat Valenciana;Servicios;Ambos sexos;2014;19.892,86
Comunitat Valenciana;Servicios;Ambos sexos;2013;20.291,29
Comunitat Valenciana;Servicios;Ambos sexos;2012;20.742,62
Comunitat Valenciana;Servicios;Ambos sexos;2011;20.922,11
Comunitat Valenciana;Servicios;Ambos sexos;2010;20.305,32
Comunitat Valenciana;Servicios;Ambos sexos;2009;20.279,72
Comunitat Valenciana;Servicios;Ambos sexos;2008;19.808,24
Comunitat Valenciana;Servicios;Mujeres;2022;22.075,3
Comunitat Valenciana;Servicios;Mujeres;2021;20.648,82
Comunitat Valenciana;Servicios;Mujeres;2020;20.181,49
Comunitat Valenciana;Servicios;Mujeres;2019;19.299,79
Comunitat Valenciana;Servicios;Mujeres;2018;19.239,48
Comunitat Valenciana;Servicios;Mujeres;2017;18.458,82
Comunitat Valenciana;Servicios;Mujeres;2016;18.311,55
Comunitat Valenciana;Servicios;Mujeres;2015;17.718,58
Comunitat Valenciana;Servicios;Mujeres;2014;17.396,45
Comunitat Valenciana;Servicios;Mujeres;2013;17.893,66
Comunitat Valenciana;Servicios;Mujeres;2012;17.813,59
Comunitat Valenciana;Servicios;Mujeres;2011;18.039,18
Comunitat Valenciana;Servicios;Mujeres;2010;17.842,47
Comunitat Valenciana;Servicios;Mujeres;2009;17.468,55
Comunitat Valenciana;Servicios;Mujeres;2008;17.093,52
Comunitat Valenciana;Servicios;Hombres;2022;26.586,01
Comunitat Valenciana;Servicios;Hombres;2021;25.857,49
Comunitat Valenciana;Servicios;Hombres;2020;25.424,06
Comunitat Valenciana;Servicios;Hombres;2019;24.265
Comunitat Valenciana;Servicios;Hombres;2018;24.356,62
Comunitat Valenciana;Servicios;Hombres;2017;23.572,28
Comunitat Valenciana;Servicios;Hombres;2016;23.551,55
Comunitat Valenciana;Servicios;Hombres;2015;23.859,32
Comunitat Valenciana;Servicios;Hombres;2014;22.967,99
Comunitat Valenciana;Servicios;Hombres;2013;23.333,86
Comunitat Valenciana;Servicios;Hombres;2012;24.424,2
Comunitat Valenciana;Servicios;Hombres;2011;24.430,15
Comunitat Valenciana;Servicios;Hombres;2010;23.395,97
Comunitat Valenciana;Servicios;Hombres;2009;23.503,19
Comunitat Valenciana;Servicios;Hombres;2008;22.984,66
Extremadura;Todos los sectores;Ambos sexos;2022;21.922,73
Extremadura;Todos los sectores;Ambos sexos;2021;21.393,01
